shipment_id,region,transport_mode,shipment_volume,distance_km,delivery_time_days,transport_cost,delivery_status
SHP0001,South,Rail,97.82,803.09,6.59,2357.8,On Time
SHP0002,West,Road,37.39,491.72,4.48,1589.47,Delayed
SHP0003,East,Road,119.59,535.0,4.96,2168.41,On Time
SHP0004,East,Rail,154.16,464.44,4.34,2213.18,On Time
SHP0005,North,Rail,85.22,81.69,1.0,1137.64,Delayed
SHP0006,North,Road,111.84,863.81,5.05,2376.47,On Time
SHP0007,North,Air,99.42,1001.98,4.48,2900.48,Delayed
SHP0008,West,Rail,44.97,224.83,5.51,1230.54,On Time
SHP0009,East,Air,152.17,998.28,4.48,3378.88,On Time
SHP0010,East,Rail,86.71,621.15,5.74,2202.72,On Time
SHP0011,North,Road,127.14,993.04,5.45,3411.76,On Time
SHP0012,West,Road,144.12,660.63,5.42,2541.51,On Time
SHP0013,West,Air,65.36,687.95,4.25,1873.63,On Time
SHP0014,North,Rail,68.73,754.28,7.47,2430.31,On Time
SHP0015,North,Road,74.14,428.78,3.61,1848.36,On Time
SHP0016,North,Road,167.11,984.51,7.79,3466.7,Delayed
SHP0017,South,Road,51.14,336.01,1.89,1206.72,On Time
SHP0018,East,Rail,182.07,537.42,3.91,2606.94,On Time
SHP0019,South,Air,98.83,796.79,2.73,2194.21,On Time
SHP0020,South,Road,102.65,507.43,5.42,2198.83,On Time
SHP0021,East,Road,140.79,867.71,6.89,3161.66,On Time
SHP0022,North,Road,92.83,1035.24,7.05,2594.62,On Time
SHP0023,South,Air,153.06,933.51,3.36,3332.48,On Time
SHP0024,South,Rail,65.31,107.89,2.62,1003.71,On Time
SHP0025,South,Rail,179.06,685.24,5.91,2640.06,On Time
SHP0026,West,Road,68.27,938.03,5.96,2248.96,Delayed
SHP0027,North,Road,182.59,281.31,3.5,2206.07,On Time
SHP0028,East,Road,69.33,852.61,4.99,2272.48,On Time
SHP0029,East,Road,75.35,836.89,3.91,2775.64,On Time
SHP0030,North,Rail,47.45,310.61,1.7,1375.65,On Time
SHP0031,East,Rail,55.65,883.59,4.72,2420.39,Delayed
SHP0032,North,Air,86.95,726.36,3.22,2367.27,On Time
SHP0033,North,Air,100.86,832.11,3.48,2850.22,On Time
SHP0034,West,Road,147.31,379.43,3.93,2231.99,On Time
SHP0035,West,Rail,78.43,692.04,7.38,2233.02,On Time
SHP0036,West,Air,43.67,172.63,2.31,659.84,On Time
SHP0037,South,Rail,109.12,50.0,1.27,1807.02,On Time
SHP0038,North,Road,97.22,689.43,5.86,2016.38,On Time
SHP0039,East,Road,115.54,958.17,4.53,2838.28,On Time
SHP0040,South,Road,60.54,720.82,8.03,1679.54,On Time
SHP0041,North,Air,64.75,632.24,1.87,2025.43,On Time
SHP0042,South,Road,60.55,597.49,4.29,1842.59,On Time
SHP0043,North,Road,162.09,386.08,2.87,2337.56,On Time
SHP0044,West,Rail,179.95,587.88,3.36,2303.99,Delayed
SHP0045,North,Road,63.16,768.07,5.81,2397.88,On Time
SHP0046,East,Road,63.9,528.14,4.48,1525.07,Delayed
SHP0047,South,Road,124.09,860.16,6.64,2752.21,On Time
SHP0048,East,Rail,190.28,704.87,3.73,3191.34,On Time
